,online_booking,mobile_site_booking,Car_Cancellation,from_date,booking_month,weekend,festivals,hourOfDay,intercity_distance,cancel_zone
6,0,0,0,1,1,0,0,2,93.0,1
17,1,0,0,1,1,1,0,1,17.0,0
24,0,0,0,1,1,1,0,1,17.0,0
158,1,0,0,1,3,0,0,2,151.0,0
216,1,0,0,1,4,1,0,1,17.0,0
233,0,0,0,1,4,1,0,1,17.0,0
234,1,0,0,1,4,1,0,1,31.0,0
243,0,0,0,1,4,0,0,1,14.0,0
328,0,0,0,1,5,1,0,5,17.0,1
332,0,0,0,1,5,1,0,1,17.0,1
374,0,0,0,1,5,1,0,1,145.0,0
422,1,0,0,1,6,1,0,1,31.0,0
485,0,0,0,1,7,0,0,1,14.0,1
610,1,0,0,1,8,0,0,1,49.0,0
668,1,0,0,1,9,1,0,1,17.0,0
669,1,0,0,1,9,1,0,1,46.0,1
704,0,0,0,1,10,0,0,3,131.0,1
717,1,0,0,2,10,0,0,6,2.0,0
738,1,0,0,1,10,1,0,6,178.0,0
779,0,0,0,1,10,1,0,1,116.0,0
837,0,0,0,1,11,1,0,2,131.0,0
869,1,0,0,1,11,0,0,2,54.0,1
871,1,0,0,1,11,1,0,6,16.0,0
905,0,0,0,1,12,1,0,2,14.0,0
917,0,0,0,1,12,1,0,3,14.0,0
926,0,0,0,1,12,0,0,2,40.0,1
949,0,0,0,1,12,1,0,1,9.0,0
975,0,0,0,1,12,0,0,1,93.0,0
977,0,0,0,1,12,1,0,1,17.0,0
985,0,0,0,1,12,1,0,1,17.0,0
999,0,0,0,1,12,1,0,1,17.0,0
1002,0,0,0,1,12,1,0,2,17.0,1
1008,0,0,0,1,12,1,0,1,17.0,0
1010,0,0,0,1,13,1,0,2,17.0,0
1011,0,0,0,1,13,1,0,1,131.0,0
1016,1,0,0,1,13,1,0,2,54.0,0
1017,0,0,0,1,13,1,0,1,93.0,0
1029,0,0,0,1,13,1,0,2,17.0,0
1040,0,0,0,1,13,0,0,2,174.0,0
1049,1,0,0,1,13,0,0,1,132.0,0
1051,0,0,0,1,13,0,0,1,17.0,0
1058,0,0,0,1,13,0,0,1,172.0,0
1079,1,0,0,1,13,0,0,1,132.0,0
1154,0,0,0,1,14,0,0,4,17.0,0
1171,0,0,0,1,14,0,0,6,17.0,0
1303,0,0,0,1,16,0,0,1,17.0,1
1314,1,0,0,1,16,0,0,1,17.0,0
1333,0,0,0,1,16,0,0,1,50.0,0
1391,1,0,0,1,17,0,0,5,31.0,1
1407,0,0,0,1,17,1,0,1,163.0,1
1418,0,0,0,1,17,1,0,6,131.0,0
1421,0,0,0,1,17,0,0,2,34.0,1
1425,0,0,0,1,17,0,0,4,9.0,0
1442,1,0,0,1,17,0,0,1,184.0,0
1520,0,0,0,1,18,1,0,1,17.0,0
1529,0,0,0,1,18,1,0,1,17.0,0
1537,1,0,0,1,18,1,0,1,17.0,0
1539,0,0,0,1,18,1,0,6,116.0,0
1633,0,0,0,1,19,1,0,1,17.0,0
1645,1,0,0,1,19,1,0,1,54.0,0
1686,1,0,0,1,19,1,0,1,17.0,0
1744,1,0,0,1,20,0,0,1,145.0,1
1836,0,0,0,1,21,0,0,6,49.0,0
1853,0,0,0,1,21,0,0,6,49.0,0
1989,1,0,0,1,22,0,0,2,131.0,0
2029,0,0,0,1,23,0,0,2,146.0,0
2033,0,0,0,2,23,0,0,6,131.0,0
2149,0,0,0,1,24,0,0,2,17.0,0
2158,1,0,0,1,24,0,0,1,131.0,0
2180,1,0,0,1,24,0,0,6,125.0,0
2187,0,0,0,1,24,0,0,1,17.0,0
2193,0,0,0,1,24,1,0,6,14.0,0
2243,1,0,0,1,25,1,0,1,17.0,0
