,package_id,online_booking,mobile_site_booking,Car_Cancellation,from_date,from_month,weekend,hourOfDay,cancel_zone
8,2.0,0,0,0,1,1,0,3,1
20,2.0,0,0,0,1,1,0,3,1
23,1.0,0,0,0,1,1,0,3,1
34,1.0,1,0,0,1,1,0,4,1
47,2.0,0,0,0,1,2,0,6,1
71,2.0,0,0,0,1,2,0,2,0
74,2.0,0,0,0,1,2,0,3,0
76,1.0,0,0,0,1,2,0,2,1
79,2.0,0,0,0,1,2,0,2,1
80,1.0,1,0,0,1,2,0,2,1
81,2.0,0,0,0,1,2,0,2,0
90,2.0,1,0,0,1,2,0,3,0
91,1.0,1,0,0,1,2,0,4,1
101,2.0,1,0,0,1,2,0,3,0
109,1.0,0,0,0,1,2,0,3,1
147,1.0,0,0,0,1,3,0,2,0
154,1.0,0,0,0,1,3,0,2,1
155,1.0,0,0,0,1,3,0,2,1
157,1.0,1,0,0,1,5,1,3,1
167,1.0,0,0,0,1,3,0,3,0
184,2.0,0,0,0,1,4,0,4,1
198,2.0,1,0,0,1,5,1,2,1
200,2.0,0,0,0,1,4,0,1,0
212,1.0,0,0,0,1,4,0,3,1
215,1.0,0,0,0,1,4,0,2,0
229,1.0,0,0,0,1,4,0,2,1
230,2.0,0,0,0,1,4,0,2,0
231,1.0,0,0,0,1,5,1,2,1
235,2.0,0,0,0,1,4,0,3,0
240,2.0,0,0,0,1,4,0,3,0
253,2.0,0,0,0,1,5,1,2,1
254,1.0,0,0,0,1,4,0,4,0
272,2.0,1,0,0,1,5,1,1,1
274,2.0,0,0,0,1,5,1,1,0
278,1.0,0,0,0,1,5,1,2,1
282,2.0,1,0,0,1,6,1,6,0
287,1.0,0,0,0,1,5,1,2,1
299,1.0,0,0,0,1,5,1,2,1
301,1.0,1,0,0,1,5,1,2,0
302,2.0,1,0,0,1,6,1,2,0
305,1.0,0,0,0,1,5,1,2,1
306,1.0,0,0,0,1,5,1,2,0
308,1.0,1,0,0,1,19,1,2,1
321,2.0,0,0,0,1,5,1,3,1
331,2.0,0,0,0,1,5,1,4,0
341,1.0,0,0,0,1,5,1,4,0
345,1.0,0,0,0,1,5,1,4,0
375,2.0,0,0,0,1,6,1,6,1
385,1.0,0,0,0,1,6,1,2,0
388,2.0,1,0,0,1,6,1,2,1
389,1.0,0,0,0,1,6,1,3,1
395,2.0,0,0,0,1,6,1,2,0
396,1.0,0,0,0,1,7,0,2,1
407,2.0,0,0,0,1,7,0,6,1
416,2.0,0,0,0,1,6,1,3,0
419,2.0,0,0,0,1,6,1,3,1
424,1.0,0,0,0,1,6,1,3,0
426,1.0,0,0,0,1,6,1,4,0
456,1.0,0,0,0,1,7,0,3,1
460,1.0,0,0,0,1,7,0,2,1
461,1.0,0,0,0,1,7,0,2,1
463,2.0,0,0,0,1,7,0,2,0
484,1.0,0,0,0,1,8,0,2,1
487,1.0,1,0,0,1,7,0,3,1
502,1.0,0,0,0,1,7,0,4,0
503,2.0,0,0,0,1,7,0,4,0
508,2.0,0,0,0,1,8,0,2,0
512,1.0,1,0,0,1,7,0,4,1
526,2.0,0,0,0,1,8,0,2,1
532,1.0,1,0,0,1,8,0,1,0
533,1.0,0,0,0,1,8,0,2,1
543,1.0,1,0,0,1,8,0,2,0
550,1.0,1,0,0,1,8,0,2,1
553,1.0,0,0,0,1,9,0,2,1
554,1.0,0,0,0,1,10,0,2,1
555,1.0,0,0,0,1,11,0,1,1
561,1.0,0,0,0,1,8,0,4,1
564,1.0,0,0,0,1,10,0,2,1
570,1.0,0,0,0,1,8,0,3,1
573,1.0,0,0,0,1,8,0,4,0
577,2.0,0,0,0,1,10,0,2,0
590,2.0,1,0,0,1,9,0,2,0
594,1.0,0,0,0,1,9,0,1,0
600,2.0,0,0,0,1,9,0,3,1
606,1.0,0,0,0,1,8,0,5,1
611,1.0,0,0,0,1,9,0,2,0
612,1.0,0,0,0,1,9,0,1,0
616,1.0,0,0,0,1,9,0,2,1
617,1.0,0,0,0,1,9,0,3,1
621,1.0,0,0,0,1,9,0,2,0
623,2.0,1,0,0,1,9,0,2,1
627,2.0,0,0,0,1,9,0,2,1
634,1.0,0,0,0,1,9,0,3,1
653,1.0,0,0,0,1,9,0,4,0
656,1.0,0,0,0,1,9,0,4,1
659,1.0,0,0,0,1,10,0,3,1
678,1.0,1,0,0,1,10,0,2,1
679,2.0,0,0,0,1,10,0,1,1
684,2.0,1,0,0,1,10,0,5,1
685,2.0,0,0,0,1,10,0,6,0
690,1.0,0,0,0,1,10,0,1,1
696,1.0,0,0,0,1,11,0,6,1
697,2.0,0,0,0,1,10,0,2,1
700,1.0,1,0,0,1,10,0,2,0
703,2.0,0,0,0,1,10,0,2,1
707,2.0,0,0,0,1,10,0,2,0
709,2.0,0,0,0,1,10,0,2,1
716,1.0,0,0,0,1,10,0,3,1
722,2.0,0,0,0,1,10,0,3,0
742,2.0,0,0,0,1,11,0,1,1
755,2.0,0,0,0,1,11,0,2,0
772,2.0,1,0,0,1,12,1,2,0
782,1.0,0,0,0,1,11,0,4,1
790,2.0,0,0,0,1,11,0,6,0
793,1.0,0,0,0,1,11,0,1,0
795,1.0,0,0,0,1,11,0,1,0
797,2.0,0,0,0,1,11,0,2,1
801,1.0,0,0,0,1,11,0,2,1
802,1.0,0,0,0,1,11,0,5,1
807,2.0,0,0,0,1,11,0,2,0
809,1.0,1,0,0,1,11,0,3,0
811,2.0,0,0,0,1,11,0,2,1
814,2.0,1,0,0,1,11,0,2,1
821,2.0,0,0,0,1,13,1,6,1
845,1.0,1,0,0,1,11,0,4,1
846,1.0,1,0,0,1,11,0,4,2
848,1.0,0,0,0,1,11,0,4,1
851,2.0,0,0,0,1,11,0,5,1
853,1.0,0,0,0,1,11,0,3,0
870,2.0,0,0,0,1,12,1,1,1
872,1.0,1,0,0,1,12,1,2,0
875,1.0,0,0,0,1,11,0,4,1
883,1.0,0,0,0,1,12,1,6,1
899,1.0,1,0,0,1,12,1,1,1
901,2.0,1,0,0,1,12,1,1,1
902,1.0,1,0,0,1,12,1,2,1
911,2.0,0,0,0,1,12,1,3,1
913,2.0,0,0,0,1,13,1,2,1
916,2.0,0,0,0,1,13,1,6,1
918,2.0,0,0,0,1,12,1,2,0
